,,,Salary,Salary,Salary,Salary,Salary,Salary,,
Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
1,Stephen Curry\curryst01,GSW,$40231758,$43006362,$45780966,,,,Bird Rights,$129019086
2,Chris Paul\paulch01,OKC,$38506482,$41358814,$44211146,,,,,$124076442
3,Russell Westbrook\westbru01,HOU,$38178000,$41006000,$43848000,$46662000,,,Bird Rights,$123032000
4,John Wall\walljo01,WAS,$37800000,$40824000,$43848000,$46872000,,,Bird Rights,$122472000
5,James Harden\hardeja01,HOU,$37800000,$40824000,$43848000,$46872000,,,Bird Rights,$122472000
6,LeBron James\jamesle01,LAL,$37436858,$39219565,$41002273,,,,,$76656423
7,Kevin Durant\duranke01,BRK,$37199000,$39058950,$40918900,$42778850,,,,$117176850
8,Kemba Walker\walkeke02,BOS,$34379100,$32742000,$36016200,$37653300,,,,$103137300
9,Blake Griffin\griffbl01,DET,$34234964,$36595996,$38957028,,,,Bird Rights,$70830960
10,Kyle Lowry\lowryky01,TOR,$33296296,$30000000,,,,,Bird Rights,$63296296
11,Paul George\georgpa01,LAC,$33005556,$35450412,$37895268,,,,Maximum Salary,$68455968
12,Klay Thompson\thompkl01,GSW,$32742000,$35361360,$37980720,$40600080,$43219440,,,$189903600
13,Jimmy Butler\butleji01,MIA,$32742000,$34379100,$36016200,$37653300,,,,$103137300
14,Kawhi Leonard\leonaka01,LAC,$32742000,$34379100,$36016200,,,,,$67121100
15,Gordon Hayward\haywago01,BOS,$32700690,$34187085,,,,,Cap space,$32700690
16,Mike Conley\conlemi01,UTA,$32511623,$34504132,,,,,Cap Space,$54938006
17,Kyrie Irving\irvinky01,BRK,$31742000,$33329100,$34916200,$36503300,,,,$136490600
18,Tobias Harris\harrito02,PHI,$31034483,$33517241,$36000000,$38482759,$40965517,,,$180000000
19,Khris Middleton\middlkh01,MIL,$30603448,$33051724,$35500000,$37948276,$40396552,,,$137103448
20,Paul Millsap\millspa01,DEN,$30500000,,,,,,Cap space,$30500000
21,Damian Lillard\lillada01,POR,$29802321,$31626953,$43750000,$47250000,$50750000,$54250000,1st Round Pick,$257429274
22,Kevin Love\loveke01,CLE,$28900000,$31300000,$31300000,$28900000,,,Bird Rights,$120400000
23,Nikola Vučević\vucevni01,ORL,$28000000,$26000000,$24000000,$22000000,,,,$100000000
24,Al Horford\horfoal01,PHI,$28000000,$27500000,$27000000,$26500000,,,,$97000000
25,DeMar DeRozan\derozde01,SAS,$27739975,$27739975,,,,,Cap Space,$27739975
26,CJ McCollum\mccolcj01,POR,$27556959,$29354152,$30864198,$33333333,$35802469,,1st Round Pick,$156911111
27,Joel Embiid\embiijo01,PHI,$27504630,$29542010,$31579390,$33616770,,,1st Round Pick,$122242800
28,Kristaps Porziņģis\porzikr01,DAL,$27285000,$29467800,$31650600,$33833400,$36016200,,,$122236800
29,D'Angelo Russell\russeda01,GSW,$27285000,$28649250,$30013500,$31377750,,,,$117325500
30,Andrew Wiggins\wiggian01,MIN,$27270000,$29290000,$31310000,$33330000,,,1st Round Pick,$121200000
31,Otto Porter\porteot01,CHI,$27250576,$28489239,,,,,Bird Rights,$27250576
32,Devin Booker\bookede01,PHO,$27250000,$29430000,$31610000,$33790000,$35970000,,1st round pick,$158050000
33,Karl-Anthony Towns\townska01,MIN,$27250000,$29430000,$31610000,$33790000,$35970000,,1st round pick,$155870000
34,Bradley Beal\bealbr01,WAS,$27093019,$28751775,$34502130,$37262300,,,Cap Space,$90346924
35,Anthony Davis\davisan02,LAL,$27093019,$28751775,,,,,1st Round Pick,$27093019
36,Andre Drummond\drumman01,DET,$27093019,$28751775,,,,,Cap Space,$27093019
37,Hassan Whiteside\whiteha01,POR,$27093018,,,,,,Cap Space,$27093018
38,Nikola Jokić\jokicni01,DEN,$26573595,$28542009,$30510423,$32478837,,,,$118104864
39,Jrue Holiday\holidjr01,NOP,$26131111,$26131111,$27020000,,,,Bird Rights,$52262222
40,LaMarcus Aldridge\aldrila01,SAS,$26000000,$24000000,,,,,Cap Space,$50000000
41,Steven Adams\adamsst01,OKC,$25842697,$27528090,,,,,1st Round Pick,$53370787
42,Giannis Antetokounmpo\antetgi01,MIL,$25842697,$27528090,,,,,1st Round Pick,$53370787
43,Marc Gasol\gasolma01,TOR,$25595700,,,,,,Bird Rights,$25595700
44,Nicolas Batum\batumni01,CHO,$25565217,$27130434,,,,,Cap Space,$25565217
45,Chandler Parsons\parsoch01,ATL,$25102511,,,,,,Cap Space,$25102511
46,Rudy Gobert\goberru01,UTA,$25008427,$26525281,,,,,1st Round Pick,$51533708
47,Harrison Barnes\barneha02,SAC,$24147727,$22215909,$20284091,$18352273,,,,$85000000
48,Serge Ibaka\ibakase01,TOR,$23271604,,,,,,Cap space,$23271604
49,Danilo Gallinari\gallida01,OKC,$22615559,,,,,,Sign and Trade,$22615559
50,Victor Oladipo\oladivi01,IND,$21000000,$21000000,,,,,1st Round Pick,$42000000
51,Malcolm Brogdon\brogdma01,IND,$20000000,$20700000,$21700000,$22600000,,,,$85000000
52,Terry Rozier\roziete01,CHO,$19894737,$18900000,$17905263,,,,,$56700000
53,Aaron Gordon\gordoaa01,ORL,$19863636,$18136364,$16409091,,,,,$54409091
54,Zach LaVine\lavinza01,CHI,$19500000,$19500000,$19500000,,,,,$58500000
55,Kent Bazemore\bazemke01,POR,$19269662,,,,,,Cap Space,$19269662
56,Tyler Johnson\johnsty01,PHO,$19245370,,,,,,Cap Space,$19245370
57,Goran Dragić\dragigo01,MIA,$19217900,,,,,,Bird Rights,$19217900
58,Jeff Teague\teaguje01,MIN,$19000000,,,,,,Cap space,$19000000
59,Evan Turner\turneev01,ATL,$18606557,,,,,,Cap Space,$18606557
60,Draymond Green\greendr01,GSW,$18539130,$22246956,$24026712,$25806469,$27586225,,Bird Rights,$90619267
61,Tristan Thompson\thomptr01,CLE,$18539130,,,,,,Bird Rights,$18539130
62,Allen Crabbe\crabbal01,ATL,$18500000,,,,,,Cap Space,$18500000
63,Tim Hardaway\hardati02,DAL,$18150000,$18975000,,,,,Cap space,$18150000
64,Reggie Jackson\jacksre01,DET,$18086956,,,,,,Bird Rights,$18086956
65,Myles Turner\turnemy01,IND,$18000000,$18000000,$18000000,$18000000,,,1st round pick,$72000000
66,Julius Randle\randlju01,NYK,$18000000,$18900000,$19800000,,,,,$40900000
67,Gary Harris\harriga01,DEN,$17839286,$19160714,$20482143,,,,1st Round Pick,$57482143
68,Derrick Favors\favorde01,NOP,$17650000,,,,,,,$17650000
69,Andre Iguodala\iguodan01,MEM,$17185185,,,,,,Bird Rights,$17185185
70,Bojan Bogdanović\bogdabo02,UTA,$17000000,$17850000,$18700000,$19550000,,,,$73100000
71,Evan Fournier\fournev01,ORL,$17000000,$17000000,,,,,Cap Space,$17000000
72,Bismack Biyombo\biyombi01,CHO,$17000000,,,,,,Cap Space,$17000000
73,Clint Capela\capelca01,HOU,$16456522,$17500000,$18543478,$19586957,,,,$72086957
74,Gorgui Dieng\dienggo01,MIN,$16229213,$17287640,,,,,1st Round Pick,$33516853
75,Ricky Rubio\rubiori01,PHO,$16190476,$17000000,$17809524,,,,,$51000000
76,Jonas Valančiūnas\valanjo01,MEM,$16000000,$15000000,$14000000,,,,,$45000000
77,Brandon Knight\knighbr03,CLE,$15643750,,,,,,,$15643750
78,Eric Bledsoe\bledser01,MIL,$15625000,$16875000,$18125000,$19375000,,,Bird Rights,$54525000
79,Kelly Oubre\oubreke01,PHO,$15625000,$14375000,,,,,,$30000000
80,Dennis Schröder\schrode01,OKC,$15500000,$15500000,,,,,1st Round Pick,$31000000
81,Ian Mahinmi\mahinia01,WAS,$15450051,,,,,,Cap Space,$15450051
82,James Johnson\johnsja01,MIA,$15349400,$16047100,,,,,Cap space,$15349400
83,Marvin Williams\willima02,CHO,$15006250,,,,,,Cap Space,$15006250
84,Marcus Morris\morrima03,NYK,$15000000,,,,,,,$15000000
85,Bobby Portis\portibo01,NYK,$15000000,$15750000,,,,,,$15000000
86,Danny Green\greenda02,LAL,$14634146,$15365854,,,,,,$30000000
87,Cody Zeller\zelleco01,CHO,$14471910,$15415730,,,,,1st Round Pick,$29887640
88,Eric Gordon\gordoer01,HOU,$14057730,$16869276,$18218818,$19568360,$20917902,,Cap Space,$68714184
89,Mason Plumlee\plumlma01,DEN,$14041096,,,,,,Cap space,$14041096
90,Rudy Gay\gayru01,SAS,$14000000,$14000000,,,,,,$28000000
91,J.J. Redick\redicjj01,NOP,$13486300,$13013700,,,,,,$26500000
92,Jordan Clarkson\clarkjo01,CLE,$13437500,,,,,,Cap Space,$13437500
93,Dewayne Dedmon\dedmode01,SAC,$13333334,$13333333,$13333333,,,,,$40000000
94,Solomon Hill\hillso01,MEM,$13258781,,,,,,Cap Space,$13258781
95,Justise Winslow\winslju01,MIA,$13000000,$13000000,$13000000,,,,1st round pick,$26000000
96,Michael Kidd-Gilchrist\kiddgmi01,CHO,$13000000,,,,,,1st Round Pick,$13000000
97,Will Barton\bartowi01,DEN,$12960000,$13920000,$14880000,,,,,$26880000
98,Thaddeus Young\youngth01,CHI,$12900000,$13545000,$14190000,,,,,$32445000
99,Courtney Lee\leeco01,DAL,$12759670,,,,,,Cap Space,$12759670
100,Larry Nance\nancela02,CLE,$12727273,$11709091,$10690909,$9672727,,,1st Round pick,$44800000
101,Marcus Smart\smartma01,BOS,$12553471,$13446428,$14339285,,,,,$40339184
102,Terrence Ross\rosste01,ORL,$12500000,$13500000,$12500000,$11500000,,,,$50000000
103,Miles Plumlee\plumlmi01,MEM,$12500000,,,,,,,$12500000
104,Patty Mills\millspa02,SAS,$12428571,$13285714,,,,,Bird Rights,$25714285
105,Patrick Beverley\beverpa01,LAC,$12345679,$13333333,$14320988,,,,,$40000000
106,Trevor Ariza\arizatr01,SAC,$12200000,$12800000,,,,,,$14000000
107,Dion Waiters\waitedi01,MIA,$12100000,$12650000,,,,,Cap space,$24750000
108,Brook Lopez\lopezbr01,MIL,$12093024,$12697675,$13302325,$13906976,,,,$52000000
109,Jusuf Nurkić\nurkiju01,POR,$12000000,$12000000,$12000000,,,,,$28000000
110,Cory Joseph\josepco01,SAC,$12000000,$12600000,$12600000,,,,,$24600000
111,Joe Ingles\inglejo01,UTA,$11954546,$10863637,$14000000,,,,Bird Rights,$36818183
112,Kelly Olynyk\olynyke01,MIA,$11667885,$12198243,,,,,Cap space,$11667885
113,Maurice Harkless\harklma01,LAC,$11511234,,,,,,Cap Space,$11511234
114,Tony Snell\snellto01,DET,$11392857,$12178571,,,,,Cap space,$11392857
115,Robert Covington\covinro01,MIN,$11301219,$12138345,$12975471,,,,Cap Space,$36415035
116,Meyers Leonard\leoname01,MIA,$11286515,,,,,,Cap Space,$11286515
117,T.J. Warren\warretj01,IND,$10810000,$11750000,$12690000,,,,1st Round Pick,$35250000
118,Andre Roberson\roberan03,OKC,$10740741,,,,,,Bird Rights,$10740741
119,Spencer Dinwiddie\dinwisp01,BRK,$10600000,$11400000,$12300000,,,,Minimum Salary,$22000000
120,Jeremy Lamb\lambje01,IND,$10500000,$10500000,$10500000,,,,,$31500000
121,Dwight Powell\poweldw01,DAL,$10259375,$10185185,$11000000,$11814815,,,Cap Space,$43259375
122,Norman Powell\powelno01,TOR,$10116576,$10865952,$11615328,,,,Cap Space,$20982528
123,Josh Richardson\richajo01,PHI,$10100000,$10800000,$11600000,,,,Minimum Salary,$20900000
124,Tomáš Satoranský\satorto01,CHI,$10000000,$10000000,$10000000,,,,,$25000000
125,DeAndre Jordan\jordade01,BRK,$9881598,$10375678,$9881598,$9821842,,,,$39960716
126,Taj Gibson\gibsota01,NYK,$9800000,$10290000,,,,,,$9800000
127,Zion Williamson\willizi01,NOP,$9757440,$10245480,$10733400,$13534817,,,1st Round Pick,$20002920
128,Markelle Fultz\fultzma01,ORL,$9745200,$12288697,,,,,1st Round Pick,$22033897
129,John Henson\hensojo01,CLE,$9732396,,,,,,1st Round Pick,$9732396
130,Matthew Dellavedova\dellama01,CLE,$9607500,,,,,,Cap Space,$9607500
131,Dante Exum\exumda01,UTA,$9600000,$9600000,,,,,Cap Space,$18200000
132,Deandre Ayton\aytonde01,PHO,$9562920,$10018200,$12632950,,,,1st Round Pick,$19581120
133,Delon Wright\wrighde01,DAL,$9473684,$9000000,$8526316,,,,,$27000000
134,Jerami Grant\grantje01,DEN,$9346153,$9346153,,,,,,$9346153
135,Al-Farouq Aminu\aminual01,ORL,$9258000,$9720900,$10183800,,,,MLE,$29162700
136,George Hill\hillge01,MIL,$9133907,$9590602,$10047297,,,,,$21000000
137,Kyle Anderson\anderky01,MEM,$9073050,$9505100,$9937150,,,,MLE,$28515300
138,Fred VanVleet\vanvlfr01,TOR,$9000000,,,,,,Bird Rights,$9000000
139,Ja Morant\moranja01,MEM,$8730240,$9166800,$9603360,$12119440,,,1st Round Pick,$17897040
140,C.J. Miles\milescj01,WAS,$8730158,,,,,,MLE,$8730158
141,Lonzo Ball\balllo01,NOP,$8719320,$11003782,,,,,1st Round Pick,$19723102
142,E'Twaun Moore\mooreet01,NOP,$8664928,,,,,,Cap Space,$8664928
143,Marvin Bagley\baglema01,SAC,$8556120,$8963640,$11312114,,,,1st Round Pick,$17519760
144,Bogdan Bogdanović\bogdabo01,SAC,$8529386,,,,,,Cap space,$8529386
145,Tyus Jones\jonesty01,MEM,$8408000,$7965100,$7522200,,,,MLE,$23895300
146,P.J. Tucker\tuckepj01,HOU,$8349039,$7969537,,,,,MLE,$10918227
147,Cristiano Felício\feliccr01,CHI,$8156500,$7529020,,,,,Cap space,$15685520
148,Ben Simmons\simmobe01,PHI,$8113930,$29250000,$31590000,$33930000,$36270000,$38610000,1st Round pick,$177763930
149,Kentavious Caldwell-Pope\caldwke01,LAL,$8089282,$8493746,,,,,,$8089282
150,Maxi Kleber\klebima01,DAL,$8000000,$8250000,$8750000,$9000000,,,,$25000000
151,Lou Williams\willilo02,LAC,$8000000,$8000000,,,,,Cap Space,$16000000
152,Elfrid Payton\paytoel01,NYK,$8000000,$8000000,,,,,,$9000000
153,Thomas Bryant\bryanth01,WAS,$7936508,$8333333,$8730159,,,,,$25000000
154,RJ Barrett\barrerj01,NYK,$7839960,$8231760,$8623920,$10900635,,,1st Round Pick,$16071720
155,Jayson Tatum\tatumja01,BOS,$7830000,$9897120,,,,,1st Round Pick,$17727120
156,Jae Crowder\crowdja01,MEM,$7815533,,,,,,Bird Rights,$7815533
157,Wayne Ellington\ellinwa01,NYK,$7804878,$8195122,,,,,,$7804878
158,Luka Dončić\doncilu01,DAL,$7683360,$8049360,$10174391,,,,1st Round Pick,$15732720
159,Joe Harris\harrijo01,BRK,$7670000,,,,,,Early Bird Rights,$7670000
160,Seth Curry\curryse01,DAL,$7441860,$7813953,$8186047,$8558140,,,MLE,$32000000
161,Doug McDermott\mcderdo01,IND,$7333334,$7333333,,,,,,$14666667
162,Langston Galloway\gallola01,DET,$7333333,,,,,,MLE,$7333333
163,Derrick Rose\rosede01,DET,$7317073,$7682927,,,,,MLE,$15000000
164,Brandon Ingram\ingrabr01,NOP,$7265485,,,,,,1st Round pick,$7265485
165,D.J. Augustin\augusdj01,ORL,$7250000,,,,,,Cap Space,$7250000
166,Darius Miller\milleda01,NOP,$7250000,$7000000,,,,,,$7250000
167,De'Andre Hunter\huntede01,ATL,$7068360,$7422000,$7775400,$9835881,,,1st Round Pick,$14490360
168,Josh Jackson\jacksjo02,MEM,$7059480,,,,,,1st Round Pick,$7059480
169,DeMarre Carroll\carrode01,SAS,$7000000,$6650000,$7000000,,,,,$15000000
170,Dāvis Bertāns\bertada01,WAS,$7000000,,,,,,Early Bird Rights,$7000000
171,Ersan İlyasova\ilyaser01,MIL,$7000000,$7000000,,,,,MLE,$7000000
172,Jaren Jackson\jacksja02,MEM,$6927480,$7257360,$9180560,,,,1st Round Pick,$14184840
173,Nemanja Bjelica\bjeline01,SAC,$6825000,$7150000,,,,,,$6825000
174,Jaylen Brown\brownja02,BOS,$6534829,$22991071,$24830357,$26669643,$28508929,,1st Rd pick,$109534829
175,Jabari Parker\parkeja01,ATL,$6500000,$6500000,,,,,,$6500000
176,Ivica Zubac\zubaciv01,LAC,$6481482,$7000000,$7518518,$7518518,,,,$21000000
177,Joakim Noah\noahjo01,NYK,$6431666,$6431666,$6431666,,,,,$19294998
178,Darius Garland\garlada01,CLE,$6400920,$6720720,$7040880,$8920795,,,1st Round Pick,$13121640
179,De'Aaron Fox\foxde01,SAC,$6392760,$8099627,,,,,1st Round Pick,$14492387
180,Trae Young\youngtr01,ATL,$6273000,$6571800,$8326471,,,,1st Round Pick,$12844800
181,Montrezl Harrell\harremo01,LAC,$6000000,,,,,,,$6000000
182,Ish Smith\smithis01,WAS,$5853659,$6146341,,,,,MLE,$12000000
183,Marco Belinelli\belinma01,SAS,$5846154,,,,,,MLE,$5846154
184,Jarrett Culver\culveja01,MIN,$5813640,$6104280,$6395160,$8109063,,,1st Round Pick,$11917920
185,Jonathan Isaac\isaacjo01,ORL,$5806440,$7362566,,,,,1st Round Pick,$13169006
186,Rodney Hood\hoodro01,POR,$5718000,$6003900,,,,,MLE,$5718000
187,Mo Bamba\bambamo01,ORL,$5697600,$5969040,$7568742,,,,1st Round Pick,$11666640
188,Timofey Mozgov\mozgoti01,ORL,$5573333,$5573333,$5573334,,,,,$16720000
189,Trey Lyles\lylestr01,SAS,$5500000,$5500000,,,,,MLE,$5500000
190,Deron Williams\willide01,BRK,$5474787,,,,,,,$5474787
191,Aron Baynes\baynear01,PHO,$5453280,,,,,,,$5453280
192,Kris Dunn\dunnkr01,CHI,$5348007,,,,,,1st Round pick,$5348007
193,Josh Smith\smithjo03,DET,$5331729,,,,,,,$5331729
194,Coby White\whiteco01,CHI,$5307120,$5572680,$5837760,$7413955,,,1st Round Pick,$10879800
195,Lauri Markkanen\markkla01,CHI,$5300400,$6731508,,,,,1st Round Pick,$12031908
196,Ryan Anderson\anderry01,MIA,$5214583,$5214583,$5214584,,,,,$15643750
197,Wendell Carter\cartewe01,CHI,$5201400,$5448840,$6920027,,,,1st Round Pick,$10650240
198,Pau Gasol\gasolpa01,SAS,$5100000,,,,,,,$5100000
199,Daniel Theis\theisda01,BOS,$5000000,$5000000,,,,,,$5000000
200,Luol Deng\denglu01,LAL,$4990000,$4990000,$4990000,,,,,$14970000
201,Jaxson Hayes\hayesja02,NOP,$4862040,$5105160,$5348280,$6803012,,,1st Round Pick,$9967200
202,Buddy Hield\hieldbu01,SAC,$4861208,$24431818,$22477273,$20522727,$18568182,,1st Round pick,$90861208
203,Frank Ntilikina\ntilila01,NYK,$4855800,$6176578,,,,,1st Round Pick,$11032378
204,Ed Davis\davised01,UTA,$4767000,$5005350,,,,,Room Exception,$9772350
205,Richaun Holmes\holmeri01,SAC,$4767000,$5005350,,,,,Room Exception,$9772350
206,Frank Kaminsky\kaminfr01,PHO,$4767000,$5005350,,,,,Room Exception,$9772350
207,Mike Scott\scottmi01,PHI,$4767000,$5005350,,,,,Room Exception,$9772350
208,Avery Bradley\bradlav01,LAL,$4767000,$5005350,,,,,Room Exception,$9772350
209,Robin Lopez\lopezro01,MIL,$4767000,$5005350,,,,,Room Exception,$4767000
210,JaMychal Green\greenja01,LAC,$4767000,$5005350,,,,,Room Exception,$4767000
211,Justin Holiday\holidju01,IND,$4767000,,,,,,Room Exception,$4767000
212,Garrett Temple\templga01,BRK,$4767000,$5005350,,,,,Room Exception,$4767000
213,Enes Kanter\kanteen01,BOS,$4767000,$5005350,,,,,Room Exception,$4767000
214,Collin Sexton\sextoco01,CLE,$4764960,$4991880,$6349671,,,,1st Round Pick,$9756840
215,Rodney McGruder\mcgruro01,LAC,$4629630,$5000000,$5370370,,,,,$15000000
216,Kevon Looney\looneke01,GSW,$4629630,$5000000,$5370370,,,,,$9629630
217,Rui Hachimura\hachiru01,WAS,$4469160,$4692840,$4916160,$6263188,,,1st Round Pick,$9162000
218,Dennis Smith\smithde03,NYK,$4463640,$5686677,,,,,1st Round Pick,$10150317
219,Jamal Murray\murraja01,DEN,$4444746,$29250000,$31590000,$33930000,$36270000,$38610000,1st Round pick,$174094746
220,Kevin Knox\knoxke01,NYK,$4380120,$4588680,$5845978,,,,1st Round Pick,$8968800
221,Cam Reddish\reddica01,ATL,$4245720,$4458000,$4670160,$5954454,,,1st Round Pick,$8703720
222,Zach Collins\colliza01,POR,$4240200,$5406255,,,,,1st Round Pick,$9646455
223,Mikal Bridges\bridgmi01,PHO,$4161000,$4359000,$5557725,,,,1st Round Pick,$8520000
224,Alex Len\lenal01,ATL,$4160000,,,,,,Room Exception,$4160000
225,Cameron Johnson\johnsca02,PHO,$4033440,$4235160,$4437000,$5887899,,,1st Round Pick,$8268600
226,Malik Monk\monkma01,CHO,$4028400,$5345687,,,,,1st Round Pick,$9374087
227,Dorian Finney-Smith\finnedo01,DAL,$4000000,$4000000,$4000000,,,,,$12000000
228,JaVale McGee\mcgeeja01,LAL,$4000000,$4200000,,,,,,$8200000
229,Patrick McCaw\mccawpa01,TOR,$4000000,$4000000,,,,,MLE,$8000000
230,Reggie Bullock\bullore01,NYK,$4000000,$4200000,,,,,Room Exception,$5000000
231,Shai Gilgeous-Alexander\gilgesh01,OKC,$3952920,$4141320,$5495532,,,,1st Round Pick,$8094240
232,Nicolò Melli\mellini01,NOP,$3902439,$4097561,,,,,Room Exception,$8000000
233,PJ Washington\washipj01,CHO,$3831840,$4023600,$4215120,$5808435,,,1st Round Pick,$7855440
234,Luke Kennard\kennalu01,DET,$3827160,$5273826,,,,,1st Round Pick,$9100986
