,,,Salary,Salary,Salary,Salary,Salary,Salary,,
235,Miles Bridges\bridgmi02,CHO,$3755400,$3934320,$5421493,,,,1st Round Pick,$7689720
236,Jakob Pöltl\poeltja01,SAS,$3754886,,,,,,1st Round pick,$3754886
237,Tyler Herro\herroty01,MIA,$3640200,$3822240,$4004280,$5722116,,,1st Round Pick,$7462440
238,Donovan Mitchell\mitchdo01,UTA,$3635760,$5195501,,,,,1st Round Pick,$8831261
239,Stanley Johnson\johnsst04,TOR,$3623000,$3801000,,,,,Bi-annual Exception,$3623000
240,Jake Layman\laymaja01,MIN,$3581986,$3761085,$3940184,,,,,$11283255
241,Thon Maker\makerth01,DET,$3569643,,,,,,1st Round pick,$3569643
242,Jerome Robinson\robinje01,LAC,$3567720,$3737520,$5340916,,,,1st Round Pick,$7305240
243,Allonzo Trier\trieral01,NYK,$3551100,,,,,,Bi-Annual Exception,$3551100
244,Danuel House\houseda01,HOU,$3540000,$3717000,$3894000,,,,MLE,$11151000
245,Domantas Sabonis\sabondo01,IND,$3529555,$17187500,$18562500,$19937500,$21312500,,1st Round pick,$80529555
246,Mirza Teletović\teletmi01,MIL,$3500000,$3500000,,,,,,$7000000
247,Boban Marjanović\marjabo01,DAL,$3500000,$3500000,,,,,Bi-Annual Exception,$7000000
248,T.J. McConnell\mccontj01,IND,$3500000,$3500000,,,,,Cap Space,$4500000
249,DeMarcus Cousins\couside01,LAL,$3500000,,,,,,,$3500000
250,Taurean Waller-Prince\princta02,BRK,$3481986,$13942308,$15057692,,,,1st Round pick,$32481986
251,Dario Šarić\saricda01,PHO,$3481986,,,,,,1st Round pick,$3481986
252,Romeo Langford\langfro01,BOS,$3458400,$3631200,$3804360,$5634257,,,1st Round Pick,$7089600
253,Bam Adebayo\adebaba01,MIA,$3454080,$5115492,,,,,1st Round Pick,$8569572
254,Kyle Korver\korveky01,PHO,$3440000,,,,,,,$3440000
255,Michael Porter\portemi01,DEN,$3389400,$3550800,$5258735,,,,1st Round Pick,$6940200
256,Denzel Valentine\valende01,CHI,$3377569,,,,,,1st Round pick,$3377569
257,Juan Hernangómez\hernaju01,DEN,$3321030,,,,,,1st Round pick,$3321030
258,Sekou Doumbouya\doumbse01,DET,$3285120,$3449400,$3613680,$5539771,,,1st Round Pick,$6734520
259,Justin Jackson\jacksju01,DAL,$3280920,$5029650,,,,,1st Round Pick,$8310570
260,Troy Brown\browntr01,WAS,$3219480,$3372840,$5170564,,,,1st Round Pick,$6592320
261,Markieff Morris\morrima02,DET,$3200000,$3360000,,,,,Bi-annual Exception,$3200000
262,Jon Leuer\leuerjo01,MIL,$3169348,$3169348,$3169347,,,,,$9508043
263,Yogi Ferrell\ferreyo01,SAC,$3150000,,,,,,Cap Space,$3150000
264,Guerschon Yabusele\yabusgu01,BOS,$3117240,,,,,,,$3117240
265,Zhaire Smith\smithzh01,PHI,$3058800,$3204600,$4915856,,,,1st Round Pick,$6263400
266,Dwight Howard\howardw01,MEM,$3039097,,,,,,,$3039097
267,Khem Birch\birchkh01,ORL,$3000000,$3000000,,,,,,$6000000
268,Ryan Arcidiacono\arcidry01,CHI,$3000000,$3000000,$3000000,,,,,$6000000
269,Quinn Cook\cookqu01,LAL,$3000000,$3000000,,,,,,$4000000
270,Ömer Aşık\asikom01,CHI,$3000000,,,,,,,$3000000
271,Nickeil Alexander-Walker\alexani01,NOP,$2964840,$3113160,$3261480,$5009633,,,1st Round Pick,$6078000
272,D.J. Wilson\wilsodj01,MIL,$2961120,$4548280,,,,,1st Round Pick,$7509400
273,Cedi Osman\osmande01,CLE,$2907143,$8750000,$8050000,$7350000,$6650000,,MLE,$27057143
274,Donte DiVincenzo\divindo01,MIL,$2905800,$3044160,$4675830,,,,1st Round Pick,$5949960
275,Bryn Forbes\forbebr01,SAS,$2875000,,,,,,Early Bird Rights,$2875000
276,Andrew Nicholson\nichoan01,POR,$2844429,$2844429,$2844429,$2844429,$2844429,,,$14222145
277,Goga Bitadze\bitadgo01,IND,$2816760,$2957520,$3098400,$4765339,,,1st Round Pick,$5774280
278,T.J. Leaf\leaftj01,IND,$2813280,$4326825,,,,,1st Round Pick,$7140105
279,Lonnie Walker\walkelo01,SAS,$2760480,$2892000,$4447896,,,,1st Round Pick,$5652480
280,Alex Caruso\carusal01,LAL,$2750000,$2750000,,,,,,$5500000
281,Malik Beasley\beaslma01,DEN,$2731714,,,,,,1st Round pick,$2731714
282,Luka Šamanić\samanlu01,SAS,$2689920,$2824320,$2959080,$4556983,,,1st Round Pick,$5514240
283,John Collins\collijo01,ATL,$2686560,$4137302,,,,,1st Round Pick,$6823862
284,Kevin Huerter\huertke01,ATL,$2636280,$2761920,$4253357,,,,1st Round Pick,$5398200
285,Caris LeVert\leverca01,BRK,$2625718,$16203704,$17500000,$18796296,,,1st Round pick,$55125718
286,Marko Guduric\gudurma01,MEM,$2625000,$2750000,,,,,Bi-annual Exception,$5375000
287,DeAndre' Bembry\bembrde01,ATL,$2603982,,,,,,1st Round pick,$2603982
288,Matisse Thybulle\thybuma01,PHI,$2582160,$2711280,$2840160,$4379527,,,1st Round Pick,$5293440
289,Harry Giles\gilesha01,SAC,$2578800,,,,,,1st Round Pick,$2578800
290,Jeff Green\greenje02,UTA,$2564753,,,,,,Minimum Salary,$2564753
291,Pau Gasol\gasolpa01,POR,$2564753,,,,,,,$2564753
292,Anthony Tolliver\tollian01,POR,$2564753,,,,,,Minimum Salary,$2564753
293,Wesley Matthews\matthwe02,MIL,$2564753,$2692991,,,,,,$2564753
294,Kyle Korver\korveky01,MIL,$2564753,,,,,,Minimum Salary,$2564753
295,Udonis Haslem\hasleud01,MIA,$2564753,,,,,,Minimum Salary,$2564753
296,Jared Dudley\dudleja01,LAL,$2564753,,,,,,Minimum Salary,$2564753
297,Rajon Rondo\rondora01,LAL,$2564753,$2619605,,,,,,$2564753
298,Tyson Chandler\chandty01,HOU,$2564753,,,,,,Minimum Salary,$2564753
299,Gerald Green\greenge01,HOU,$2564753,,,,,,Minimum Salary,$2564753
300,Thabo Sefolosha\sefolth01,HOU,$2564753,,,,,,Minimum Salary,$2564753
301,Nenê Hilário\hilarne01,HOU,$2564753,$2692991,,,,,Bird Rights,$2564753
302,J.J. Barea\bareajo01,DAL,$2564753,,,,,,Minimum Salary,$2564753
303,Wilson Chandler\chandwi01,BRK,$2564753,,,,,,Minimum Salary,$2564753
304,Vince Carter\cartevi01,ATL,$2564753,,,,,,Minimum Salary,$2564753
305,Dwight Howard\howardw01,LAL,$2564753,,,,,,,
306,Josh Okogie\okogijo01,MIN,$2530680,$2651040,$4087904,,,,1st Round Pick,$5181720
307,Vincent Poirier\poirivi01,BOS,$2505793,$2619207,,,,,Minimum Salary,$5125000
308,Rondae Hollis-Jefferson\holliro01,TOR,$2500000,,,,,,MLE,$2500000
309,Brandon Clarke\clarkbr01,MEM,$2478840,$2602920,$2726880,$4343920,,,1st Round Pick,$5081760
310,Terrance Ferguson\fergute01,OKC,$2475840,$3944013,,,,,1st Round Pick,$6419853
311,Grayson Allen\allengr01,MEM,$2429400,$2545320,$4054695,,,,1st Round Pick,$4974720
312,Grant Williams\willigr01,BOS,$2379840,$2498760,$2617800,$4306281,,,1st Round Pick,$4878600
313,Jarrett Allen\allenja01,BRK,$2376840,$3909902,,,,,1st Round Pick,$6286742
314,Pascal Siakam\siakapa01,TOR,$2351839,$29000000,$31320000,$33640000,$35960000,,1st Round pick,$132271839
315,Skal Labissière\labissk01,POR,$2338847,,,,,,1st Round pick,$2338847
316,Chandler Hutchison\hutchch01,CHI,$2332320,$2443440,$4019459,,,,1st Round Pick,$4775760
317,Patrick Patterson\pattepa01,LAC,$2331593,,,,,,Minimum Salary,$2331593
318,Dejounte Murray\murrade01,SAS,$2321735,$14285714,$15428571,$16571429,$17714286,,1st Round pick,$66321735
319,Isaiah Thomas\thomais02,WAS,$2320044,,,,,,,$2320044
320,Alec Burks\burksal01,GSW,$2320044,,,,,,Minimum Salary,$2320044
321,Damian Jones\jonesda03,ATL,$2305057,,,,,,1st Round pick,$2305057
322,Darius Bazley\bazleda01,OKC,$2284800,$2399160,$2513040,$4264629,,,1st Round Pick,$4683960
323,OG Anunoby\anunoog01,TOR,$2281800,$3872215,,,,,1st Round Pick,$6154015
324,Ante Žižić\zizican01,CLE,$2281800,,,,,,1st Round Pick,$2281800
325,Monta Ellis\ellismo01,IND,$2245400,$2245400,$2245400,,,,,$6736200
326,Aaron Holiday\holidaa01,IND,$2239200,$2345640,$3980551,,,,1st Round Pick,$4584840
327,Luke Kornet\kornelu01,CHI,$2195122,$2304878,,,,,Room Exception,$4500000
328,Ty Jerome\jeromty01,PHO,$2193480,$2303040,$2412840,$4220057,,,1st Round Pick,$4496520
329,Willie Cauley-Stein\caulewi01,GSW,$2177483,$2286357,,,,,MLE,$2177483
330,Austin Rivers\riverau01,HOU,$2174318,$2369663,,,,,Minimum Salary,$2174318
331,Carmelo Anthony\anthoca01,POR,$2159029,,,,,,,
332,Anfernee Simons\simonan01,POR,$2149560,$2252040,$3938818,,,,1st Round Pick,$4401600
333,Matt Barnes\barnema02,SAC,$2133541,,,,,,,$2133541
334,Nassir Little\littlna01,POR,$2105520,$2210640,$2316240,$4171548,,,1st Round Pick,$4316160
335,Torrey Craig\craigto01,DEN,$2100000,,,,,,Cap Space,$2100000
336,Moritz Wagner\wagnemo01,WAS,$2063520,$2161920,$3893618,,,,1st Round Pick,$4225440
337,Dylan Windler\windldy01,CLE,$2035800,$2137440,$2239200,$4037278,,,1st Round Pick,$4173240
338,Caleb Swanigan\swanica01,SAC,$2033160,,,,,,1st Round Pick,$2033160
339,Iman Shumpert\shumpim01,BRK,$2031677,,,,,,,
340,Kyle O'Quinn\oquinky01,PHI,$2028594,,,,,,Minimum Salary,$2028594
341,Michael Carter-Williams\cartemi01,ORL,$2028594,,,,,,Minimum Salary,$2028594
342,Mike Muscala\muscami01,OKC,$2028594,$2283034,,,,,,$2028594
343,Nerlens Noel\noelne01,OKC,$2028594,,,,,,Minimum Salary,$2028594
344,Troy Daniels\danietr01,LAL,$2028594,,,,,,Minimum Salary,$2028594
345,Trey Burke\burketr01,PHI,$2028594,,,,,,Minimum Salary,$810000
346,Spencer Hawes\hawessp01,MIL,$2007058,,,,,,,$2007058
347,Edmond Sumner\sumneed01,IND,$2000000,$2160000,$2320000,,,,,$4160000
348,Noah Vonleh\vonleno01,MIN,$2000000,,,,,,MLE,$2000000
349,Avery Bradley\bradlav01,MEM,$2000000,,,,,,,$2000000
350,Landry Shamet\shamela01,LAC,$1995120,$2090040,$3768342,,,,1st Round Pick,$4085160
351,Mfiondu Kabengele\kabenmf01,LAC,$1977000,$2075880,$2174880,$3923484,,,1st Round Pick,$4052880
352,Kyle Kuzma\kuzmaky01,LAL,$1974600,$3562178,,,,,1st Round Pick,$5536778
353,Jordan Poole\poolejo01,GSW,$1964760,$2063280,$2161440,$3901399,,,1st Round Pick,$4028040
354,Tony Bradley\bradlto01,UTA,$1962360,$3542060,,,,,1st Round Pick,$5504420
355,Keldon Johnson\johnske04,SAS,$1950600,$2048040,$2145720,$3873025,,,1st Round Pick,$3998640
356,Derrick White\whitede01,SAS,$1948080,$3516284,,,,,1st Round Pick,$5464364
357,Robert Williams\williro04,BOS,$1937520,$2029920,$3661976,,,,1st Round Pick,$3967440
358,Josh Hart\hartjo01,NOP,$1934160,$3491159,,,,,1st Round Pick,$5425319
359,Jacob Evans\evansja02,GSW,$1925880,$2017320,$3641263,,,,1st Round Pick,$3943200
360,Anderson Varejão\varejan01,POR,$1913345,$1913345,,,,,,$3826690
361,Džanan Musa\musadz01,BRK,$1911600,$2002800,$3615054,,,,1st Round Pick,$3914400
362,Omari Spellman\spellom01,GSW,$1897800,$1988280,$3588845,,,,1st Round Pick,$3886080
363,James Ennis\ennisja01,PHI,$1882867,$2071978,,,,,,$1882867
364,Shabazz Napier\napiesh01,MIN,$1882867,,,,,,Cap Space,$1882867
365,Glenn Robinson\robingl02,GSW,$1882867,$2071978,,,,,,$1882867
366,Tim Frazier\fraziti01,DET,$1882867,,,,,,,$1882867
367,Ben McLemore\mclembe01,HOU,$1882867,$2130023,,,,,,$500000
368,Larry Sanders\sandela01,MIL,$1865547,$1865547,$1865547,,,,,$5596641
369,Bruno Caboclo\cabocbr01,MEM,$1845301,,,,,,,$300000
370,Mario Hezonja\hezonma01,POR,$1737145,$1882867,,,,,Minimum Salary,$3620012
371,Emmanuel Mudiay\mudiaem01,UTA,$1737145,,,,,,Minimum Salary,$1737145
372,Raul Neto\netora01,PHI,$1737145,,,,,,Minimum Salary,$1737145
373,JaKarr Sampson\sampsja02,IND,$1737145,,,,,,Minimum Salary,$1737145
374,Pat Connaughton\connapa01,MIL,$1723050,,,,,,,$1723050
375,Jahlil Okafor\okafoja01,NOP,$1702486,,,,,,Minimum Salary,$54323
376,Rodions Kurucs\kurucro01,BRK,$1699236,$1780152,$1861068,,,,,$3479388
377,Jonah Bolden\boldejo01,PHI,$1698450,$1766550,$1845000,,,,,$1698450
378,Cheick Diallo\diallch01,PHO,$1678854,$1824003,,,,,Minimum Salary,$1678854
379,Treveon Graham\grahatr01,MIN,$1678854,,,,,,Minimum Salary,$1678854
380,David Nwaba\nwabada01,BRK,$1678854,$1824003,,,,,,$1678854
381,Dragan Bender\bendedr01,MIL,$1678854,$1824003,,,,,Minimum Salary,$600000
382,Marquese Chriss\chrisma01,GSW,$1678854,,,,,,,
383,Willy Hernangómez\hernawi01,CHO,$1676735,,,,,,Cap Space,$1676735
384,Derrick Jones\jonesde02,MIA,$1645357,,,,,,Minimum Salary,$1645357
385,Christian Wood\woodch01,DET,$1645357,,,,,,Minimum Salary,$822679
386,Jordan McRae\mcraejo01,WAS,$1645357,,,,,,,$600000
387,Georges Niang\niangge01,UTA,$1645357,$1783557,,,,,,
388,Furkan Korkmaz\korkmfu01,PHI,$1620564,$1762796,,,,,Minimum Salary,$1620564
389,Jordan Bell\belljo01,MIN,$1620564,,,,,,Minimum Salary,$1620564
390,Justin Patton\pattoju01,OKC,$1620564,$1762796,$1910860,,,,,$700000
391,Wesley Iwundu\iwundwe01,ORL,$1618520,,,,,,,$1618520
392,Abdel Nader\naderab01,OKC,$1618520,$1752950,,,,,,$1618520
393,Damyean Dotson\dotsoda01,NYK,$1618520,,,,,,Minimum Salary,$1618520
394,Frank Jackson\jacksfr01,NOP,$1618520,,,,,,MLE,$1618520
395,Sterling Brown\brownst02,MIL,$1618520,,,,,,MLE,$1618520
396,Dillon Brooks\brookdi01,MEM,$1618520,,,,,,MLE,$1618520
397,Dwayne Bacon\bacondw01,CHO,$1618520,,,,,,MLE,$1618520
398,Semi Ojeleye\ojelese01,BOS,$1618520,$1752950,,,,,,$1618520
399,Royce O'Neale\onealro01,UTA,$1618520,,,,,,,
400,Chris Boucher\bouchch01,TOR,$1588231,,,,,,,$1588231
401,Malcolm Miller\millema01,TOR,$1588231,,,,,,,$1588231
402,Monte Morris\morrimo01,DEN,$1588231,$1663861,,,,,Minimum Salary,$1588231
403,Alfonzo McKinnie\mckinal01,CLE,$1588231,,,,,,,
404,Tyrone Wallace\wallaty01,ATL,$1588231,,,,,,,
405,Mitchell Robinson\robinmi01,NYK,$1559712,$1663861,$1802057,,,,MLE,$1559712
406,Vlatko Čančar\cancavl01,DEN,$1517981,$898310,$1782621,,,,MLE,$2416291
407,Isaiah Roby\robyis01,DAL,$1500000,$1517981,$1782621,$1930681,,,MLE,$3017981
408,Nigel Williams-Goss\willini01,UTA,$1500000,$1517981,$1782621,,,,,$1500000
409,J.R. Smith\smithjr01,CLE,$1456667,$1456667,$1456666,,,,,$4370000
410,Shake Milton\miltosh01,PHI,$1445697,$1701593,$1846738,$1997718,,,Two-Way Contract,$4994028
411,Thanasis Antetokounmpo\antetth01,MIL,$1445697,$1701593,,,,,Minimum Salary,$3147290
412,Theo Pinson\pinsoth01,BRK,$1445697,$1701593,,,,,,$1445697
413,Brad Wanamaker\wanambr01,BOS,$1445697,,,,,,Minimum Salary,$1445697
414,Derrick Walton\waltode01,LAC,$1445697,,,,,,,
415,Ryan Broekhoff\broekry01,DAL,$1443842,,,,,,,$1443842
416,Gary Trent\trentga02,POR,$1416852,$1663861,,,,,MLE,$3080713
417,Isaac Bonga\bongais01,WAS,$1416852,$1663861,,,,,,$1416852
418,Chimezie Metu\metuch01,SAS,$1416852,$1663861,,,,,MLE,$1416852
419,Jevon Carter\carteje01,PHO,$1416852,,,,,,MInimum Salary,$1416852
420,Elie Okobo\okoboel01,PHO,$1416852,$1663861,$1802057,,,,,$1416852
421,Melvin Frazier\frazime01,ORL,$1416852,$1663861,,,,,MLE,$1416852
422,Deonte Burton\burtode02,OKC,$1416852,,,,,,,$1416852
423,Hamidou Diallo\diallha01,OKC,$1416852,$1663861,,,,,MLE,$1416852
424,Kenrich Williams\willike04,NOP,$1416852,,,,,,Minimum Salary,$1416852
425,Keita Bates-Diop\bateske01,MIN,$1416852,$1663861,,,,,MLE,$1416852
426,Duncan Robinson\robindu01,MIA,$1416852,$1663861,,,,,,$1416852
427,De'Anthony Melton\meltode01,MEM,$1416852,,,,,,,$1416852
428,Alize Johnson\johnsal02,IND,$1416852,,,,,,Minimum Salary,$1416852
429,Bruce Brown\brownbr01,DET,$1416852,$1663861,,,,,MLE,$1416852
430,Sviatoslav Mykhailiuk\mykhasv01,DET,$1416852,$1663861,,,,,Cap Space,$1416852
431,Jarred Vanderbilt\vandeja01,DEN,$1416852,$1663861,,,,,Cap Space,$1416852
432,Devonte' Graham\grahade01,CHO,$1416852,$1663861,,,,,MLE,$1416852
433,Isaiah Hartenstein\harteis01,HOU,$1416852,$1663861,,,,,MLE,$708426
434,Gary Clark\clarkga01,HOU,$1416852,$1663861,,,,,,$708426
435,Kendrick Nunn\nunnke01,MIA,$1416852,$1663861,,,,,,$450000
436,Jalen Brunson\brunsja01,DAL,$1416582,$1663861,$1802057,,,,Cap Space,$3080443
437,Bruno Fernando\fernabr01,ATL,$1400000,$1517981,$1782621,,,,,$4700602
438,Jaylen Nowell\nowelja01,MIN,$1400000,$1517981,$1782621,$1930681,,,MLE,$1400000
439,Amile Jefferson\jeffeam01,ORL,$1355851,$1701593,,,,,,
440,Kevin Porter\porteke02,CLE,$1290960,$2033160,$2130240,$3845083,,,1st Round Pick,$3324120
441,Carsen Edwards\edwarca01,BOS,$1200000,$1517981,$1782621,$1930681,,,,$4500602
442,Cody Martin\martico01,CHO,$1173310,$1517981,$1782621,,,,MLE,$4473912
443,George Hill\hillge01,MIL,$1000000,,,,,,,$21000000
444,Terance Mann\mannte01,LAC,$1000000,$1517984,$1782621,$1930681,,,,$2517984
445,Jonathon Simmons\simmojo02,WAS,$1000000,,,,,,,$1000000
446,Justin Hamilton\hamilju01,TOR,$1000000,,,,,,,$1000000
447,Kyle Singler\singlky01,OKC,$999200,$999200,$999200,$999200,,,,$3996800
448,Admiral Schofield\schofad01,WAS,$898310,$1517981,$1782621,,,,MLE,$4198912
449,KZ Okpala\okpalkz01,MIA,$898310,$1517981,$1782621,,,,MLE,$4198912
450,Eric Paschall\pascher01,GSW,$898310,$1517981,$1782621,,,,MLE,$4198912
451,Nicolas Claxton\claxtni01,BRK,$898310,$1517981,$1782621,,,,Minimum Salary,$4198912
452,Justin James\jamesju01,SAC,$898310,$1517981,$1782621,,,,Minimum Salary,$2416291
453,Jalen Lecque\lecquja01,PHO,$898310,$1517981,$1782621,$1930681,,,,$2416291
454,Ignas Brazdeikis\brazdig01,NYK,$898310,$1517981,$1782621,,,,Minimum Salary,$2416291
455,Talen Horton-Tucker\hortota01,LAL,$898310,$1517981,,,,,Minimum Salary,$2416291
456,Daniel Gafford\gaffoda01,CHI,$898310,$1517981,$1782621,$1930681,,,Minimum Salary,$2416291
457,Alen Smailagić\smailal01,GSW,$898310,$1517981,$1782621,$1930681,,,MLE,$2415891
458,Matt Thomas\thomama02,TOR,$898310,$1517981,$1782621,,,,MLE,$1623310
459,Miye Oni\onimi01,UTA,$898310,$1517981,$1782621,,,,Minimum Salary,$898310
460,Terence Davis\daviste02,TOR,$898310,$1517981,,,,,Minimum Salary,$898310
461,Naz Reid\reidna01,MIN,$898310,$1517981,$1782621,$1930681,,,MLE,$898310
462,Dewan Hernandez\hernade01,TOR,$898310,$1517981,$1782621,,,,MLE,$500000
463,Justin Robinson\robinju01,WAS,$898310,$1517981,$1782621,,,,MLE,$250000
464,Shaquille Harrison\harrish01,CHI,$898310,,,,,,,$175000
465,Javonte Green\greenja02,BOS,$898310,$1517981,,,,,Minimum Salary,$100000
466,Caleb Martin\martica02,CHO,$898310,$1517981,$1782621,,,,,
467,Wenyen Gabriel\gabriwe01,SAC,$898310,,,,,,,
468,Khyri Thomas\thomakh01,DET,$838464,$1663861,,,,,MLE,$838464
469,Patrick Patterson\pattepa01,OKC,$737067,$737067,$737066,,,,,$2211200
470,Cole Aldrich\aldrico01,MIN,$685340,$685340,,,,,,$1370680
471,Shaun Livingston\livinsh01,GSW,$666667,$666667,$666666,,,,,$2666666
472,Ryan Anderson\anderry01,HOU,$500000,,,,,,,$500000
473,Dakari Johnson\johnsda04,MEM,$459414,$459414,,,,,,$918828
474,Max Strus\strusma01,BOS,$415414,,,,,,,$415414
475,Ivan Rabb\rabbiv01,MEM,$371758,,,,,,,$371758
476,A.J. Hammons\hammoaj01,MIA,$350087,$350087,,,,,,$700174
477,Festus Ezeli\ezelife01,POR,$333333,,,,,,,$333333
478,C.J. Watson\watsocj01,ORL,$333333,,,,,,,$333333
479,Stanton Kidd\kiddst01,UTA,$250000,,,,,,,$250000
480,Joe Johnson\johnsjo02,DET,$220000,,,,,,,$220000
481,Jemerrio Jones\jonesje01,WAS,$199000,,,,,,,$199000
482,Cameron Payne\payneca01,TOR,$150000,,,,,,,$150000
483,Troy Williams\willitr02,HOU,$122741,$122741,$122741,$122741,,,,$490964
484,Yante Maten\matenya01,MIA,$100000,,,,,,,$100000
485,Jaylen Adams\adamsja01,ATL,$100000,,,,,,,$100000
486,Demetrius Jackson\jacksde01,BOS,$92857,$92857,$92857,$92857,$92857,,,$464285
487,William Howard\howarwi01,UTA,$50000,,,,,,,$50000
488,Isaiah Taylor\taylois01,TOR,$50000,,,,,,,$50000
489,Tyler Lydon\lydonty01,SAC,$50000,,,,,,,$50000
490,Hollis Thompson\thompho01,SAC,$50000,,,,,,,$50000
491,Tyler Ulis\ulisty01,SAC,$50000,,,,,,,$50000